loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,earliest_cr_line,issue_d,application_type,mort_acc,pub_rec_bankruptcies,loan_status
31656,36 months,15.81,167.09,B,B5,8,OWN,50924.99,Verified,debt_consolidation,NY,23.03,0,1,6,0,19299,5.7,10,1996-10,2017-07,Joint App,1,0,0
21015,36 months,11.15,80.84,C,C4,1,OWN,19733.44,Source Verified,debt_consolidation,FL,0.0,0,1,14,0,23699,31.2,19,2000-05,2018-03,Individual,1,0,0
5996,60 months,7.08,6.33,B,B4,4,RENT,57108.75,Not Verified,debt_consolidation,VA,3.69,0,0,4,0,21233,24.4,16,2011-07,2019-03,Individual,1,0,1
33750,36 months,17.46,218.2,E,E1,3,RENT,33449.91,Source Verified,vacation,GA,25.05,1,1,14,0,53700,26.5,19,1998-12,2018-11,Individual,2,0,1
18565,36 months,11.13,68.92,B,B3,5,MORTGAGE,19744.67,Verified,credit_card,CA,10.96,2,5,8,0,30793,38.9,10,1996-08,2018-12,Individual,2,0,0
20513,36 months,9.5,92.59,A,A1,5,OWN,39685.06,Verified,credit_card,VA,5.74,0,1,10,0,56101,23.8,20,2004-03,2016-11,Individual,2,0,1
15461,36 months,12.93,62.33,C,C4,2,MORTGAGE,105847.14,Verified,major_purchase,OH,14.58,0,1,21,0,10667,75.5,34,2009-12,2015-11,Individual,1,0,0
8119,60 months,11.14,19.06,E,E4,2,RENT,101198.27,Verified,debt_consolidation,IN,17.7,0,3,5,0,28302,51.0,20,2003-12,2019-09,Individual,0,1,0
37143,60 months,18.52,202.45,E,E3,2,OWN,86513.11,Source Verified,debt_consolidation,TN,14.89,2,1,12,1,46052,26.1,24,2013-06,2019-11,Individual,2,0,1
31481,60 months,17.68,114.92,D,D2,0,RENT,57615.09,Source Verified,debt_consolidation,IN,19.28,1,1,20,0,79464,7.2,28,1995-05,2019-01,Individual,2,0,1
26110,36 months,12.79,110.06,C,C1,7,RENT,70086.0,Not Verified,debt_consolidation,VA,18.33,0,0,15,0,29304,30.3,31,1998-10,2019-01,Individual,1,0,0
16694,36 months,11.77,54.72,D,D4,5,MORTGAGE,52009.76,Not Verified,credit_card,AZ,17.96,1,2,25,0,45483,35.4,34,1999-07,2015-11,Individual,2,0,1
33087,36 months,14.47,200.24,D,D4,1,RENT,25259.8,Not Verified,debt_consolidation,TX,25.44,2,0,1,0,39709,29.3,13,2006-02,2019-01,Individual,1,0,0
22271,36 months,11.26,67.44,B,B3,3,MORTGAGE,28472.64,Source Verified,major_purchase,TN,15.9,0,3,12,0,1005,92.8,30,2011-04,2016-04,Joint App,3,0,1
18293,36 months,9.59,62.64,C,C4,7,RENT,34053.61,Source Verified,medical,MI,15.69,1,0,1,0,22810,8.9,20,2016-02,2018-06,Individual,3,0,0
18567,36 months,14.14,80.61,E,E4,3,MORTGAGE,113642.8,Source Verified,wedding,CA,21.62,0,3,2,0,23002,43.0,10,2018-04,2019-07,Individual,1,0,0
9862,36 months,8.87,28.24,B,B3,4,OWN,93527.84,Source Verified,debt_consolidation,TX,19.87,0,1,12,0,36309,39.4,21,2015-03,2018-04,Individual,3,0,0
4593,36 months,8.52,9.95,D,D1,8,RENT,25644.22,Verified,credit_card,OH,9.68,0,1,8,0,14812,37.0,25,2006-12,2017-11,Individual,2,0,0
22628,60 months,12.34,68.35,C,C5,7,MORTGAGE,50616.59,Not Verified,debt_consolidation,GA,15.36,0,2,5,0,57011,3.2,16,2012-12,2019-05,Joint App,2,0,0
35627,36 months,16.62,188.24,C,C3,7,MORTGAGE,38500.85,Source Verified,debt_consolidation,IL,19.07,0,1,28,0,37984,41.1,43,2009-01,2018-10,Individual,2,0,0
3488,36 months,4.51,4.18,A,A4,4,RENT,44664.74,Verified,home_improvement,TN,11.89,2,3,23,0,7057,45.6,24,2014-10,2019-09,Individual,4,0,0
34473,60 months,16.56,138.01,D,D5,5,MORTGAGE,35538.59,Source Verified,credit_card,NC,12.23,0,0,13,0,28512,56.2,29,1999-10,2017-01,Individual,0,0,0
33277,60 months,18.66,113.75,F,F2,9,MORTGAGE,113938.6,Verified,small_business,PA,6.26,0,2,28,0,40807,51.7,30,1993-11,2017-12,Joint App,1,0,0
11793,60 months,5.81,14.47,A,A4,9,RENT,48467.86,Source Verified,medical,AZ,0.0,0,0,3,1,17465,66.4,10,2018-11,2019-03,Individual,3,0,0
25634,36 months,13.13,127.92,B,B1,0,OWN,55809.2,Source Verified,debt_consolidation,MI,13.38,0,0,27,0,49466,1.1,30,2001-05,2019-08,Individual,2,0,1
7443,60 months,4.85,7.79,A,A5,9,RENT,56081.14,Not Verified,wedding,TN,16.89,1,2,26,1,60908,37.3,44,1993-06,2015-08,Individual,3,0,0
30565,36 months,12.5,80.73,A,A1,9,RENT,26458.64,Source Verified,debt_consolidation,NJ,8.33,2,0,14,0,53414,92.1,16,2006-03,2017-01,Individual,1,0,0
28320,36 months,16.08,169.39,G,G3,10,RENT,52319.91,Source Verified,car,MA,25.65,2,1,21,0,53653,63.2,31,2001-11,2015-12,Individual,4,0,1
14826,36 months,12.22,59.38,C,C2,2,MORTGAGE,92724.69,Not Verified,home_improvement,MO,8.67,0,0,9,0,73823,12.9,11,1999-01,2019-01,Individual,1,0,1
3648,36 months,5.42,6.23,B,B1,5,OWN,118612.2,Not Verified,debt_consolidation,TX,22.39,0,1,28,0,41959,43.8,28,2002-07,2018-06,Individual,4,0,1
38857,36 months,13.63,173.33,B,B3,0,RENT,24619.92,Not Verified,credit_card,NY,18.93,1,0,15,0,62489,21.1,20,2009-06,2017-03,Joint App,3,1,1
18381,36 months,15.16,67.96,G,G5,1,RENT,19709.17,Source Verified,debt_consolidation,MA,31.23,0,0,7,0,27432,33.4,8,2007-05,2015-03,Individual,4,0,1
35831,60 months,14.36,106.2,B,B1,6,RENT,50882.83,Source Verified,medical,VA,19.78,0,0,4,0,59119,82.0,9,2016-12,2017-01,Individual,1,0,0
27438,36 months,12.75,90.09,D,D2,2,MORTGAGE,95369.35,Source Verified,debt_consolidation,IL,5.88,0,0,21,0,46511,61.2,24,1997-06,2017-02,Individual,1,0,0
31356,36 months,14.37,143.04,B,B1,2,RENT,60825.1,Not Verified,medical,CA,23.38,0,0,28,0,69439,11.6,41,2010-01,2019-02,Individual,1,0,0
30636,36 months,10.27,107.61,A,A1,3,RENT,73730.93,Not Verified,debt_consolidation,WI,27.88,0,0,21,0,6140,26.7,24,1998-11,2019-09,Joint App,3,0,0
8590,36 months,8.6,29.03,D,D2,5,RENT,21673.61,Source Verified,car,TX,3.59,1,2,20,0,73153,42.0,29,2009-12,2018-01,Individual,1,0,0
15192,36 months,8.11,35.46,A,A3,1,MORTGAGE,34780.34,Source Verified,debt_consolidation,MI,20.47,0,1,23,0,18508,36.7,23,2006-05,2019-07,Individual,2,0,0
19202,36 months,13.46,107.0,D,D4,8,MORTGAGE,13125.77,Verified,small_business,IL,22.02,0,1,9,0,67147,48.3,27,2015-04,2019-04,Individual,1,0,0
20413,36 months,12.56,98.95,B,B4,7,MORTGAGE,45004.02,Verified,medical,GA,14.51,3,0,10,0,30375,26.5,18,2017-09,2019-01,Individual,2,0,1
2708,60 months,10.6,5.33,E,E4,8,RENT,13379.36,Verified,debt_consolidation,MA,0.0,0,1,23,0,49119,34.7,29,2001-01,2017-01,Individual,2,0,0
22316,60 months,14.0,50.94,E,E4,10,MORTGAGE,109053.84,Verified,debt_consolidation,NJ,13.93,0,0,19,0,26748,26.3,25,2001-08,2019-11,Individual,0,0,1
7017,36 months,6.54,11.62,D,D2,6,MORTGAGE,124603.61,Source Verified,credit_card,CA,11.93,0,1,8,0,67447,34.6,9,2009-03,2019-11,Individual,2,0,1
29991,36 months,12.97,135.53,A,A5,3,MORTGAGE,53337.03,Source Verified,home_improvement,TX,26.71,0,0,2,0,58049,56.1,7,2003-03,2019-08,Individual,1,1,1
27638,60 months,16.37,79.37,D,D1,10,RENT,19780.58,Source Verified,medical,MD,15.38,0,0,22,0,26112,47.9,38,2010-02,2018-07,Joint App,4,0,0
36978,60 months,21.13,187.51,G,G4,6,RENT,61416.12,Source Verified,debt_consolidation,PA,13.11,0,1,25,0,10642,28.0,32,1998-08,2015-03,Individual,3,0,1
30045,36 months,13.97,124.06,B,B1,5,MORTGAGE,149563.98,Verified,moving,NC,11.89,0,0,12,0,76158,64.6,28,2002-09,2017-11,Individual,1,1,0
15299,60 months,8.3,21.58,B,B4,4,RENT,65214.77,Source Verified,vacation,TN,18.28,0,1,25,0,77907,63.3,28,1997-06,2018-06,Individual,1,0,0
38732,60 months,17.65,142.05,E,E1,0,MORTGAGE,99806.68,Verified,major_purchase,IN,16.4,1,1,26,0,13876,42.0,33,1998-12,2016-09,Individual,2,0,0
17023,60 months,11.58,34.92,A,A2,10,RENT,36640.18,Verified,debt_consolidation,PA,10.47,0,0,21,0,25393,36.8,33,1995-01,2017-10,Individual,3,1,0
13707,36 months,9.43,43.15,D,D2,9,RENT,29064.53,Not Verified,debt_consolidation,IL,17.85,0,3,29,0,18337,77.3,30,1995-12,2019-06,Individual,3,0,1
36315,36 months,16.3,229.74,E,E4,7,MORTGAGE,46980.26,Verified,car,NC,12.1,0,2,29,0,18184,74.1,36,2010-10,2019-04,Individual,1,0,0
15447,36 months,9.99,52.44,A,A1,2,RENT,15428.58,Verified,small_business,OH,0.0,1,3,10,0,12682,11.7,27,1997-01,2019-06,Individual,2,0,1
3977,36 months,7.28,9.85,C,C2,10,RENT,190699.3,Source Verified,home_improvement,MA,20.68,0,5,27,0,58355,65.9,36,2007-06,2018-11,Individual,1,0,0
19312,36 months,10.21,67.97,C,C2,1,MORTGAGE,53305.25,Source Verified,vacation,MA,20.01,0,3,16,0,62161,76.5,34,2015-07,2016-09,Individual,1,0,0
32031,36 months,15.74,120.63,B,B4,2,RENT,82459.6,Source Verified,debt_consolidation,PA,17.4,0,2,12,0,48504,55.1,14,1995-08,2018-09,Individual,4,0,1
8389,36 months,12.15,36.19,F,F5,0,OWN,37163.96,Not Verified,major_purchase,GA,12.9,0,3,7,0,34759,32.7,26,2015-06,2019-04,Individual,3,0,1
19054,36 months,9.31,60.71,A,A4,3,RENT,19421.74,Source Verified,home_improvement,MA,15.5,0,1,21,0,78354,35.1,38,2014-04,2017-04,Individual,1,0,0
6066,60 months,6.04,8.42,B,B3,3,OWN,115322.62,Source Verified,moving,NJ,21.73,0,3,24,0,59042,76.2,31,2005-04,2019-07,Individual,1,0,1
27772,36 months,18.0,183.46,E,E2,8,MORTGAGE,24972.73,Not Verified,major_purchase,VA,11.58,0,1,6,1,4734,58.7,17,2000-08,2017-01,Individual,2,0,0
19552,36 months,9.86,62.1,A,A5,3,RENT,60433.77,Verified,credit_card,IN,22.02,1,2,15,0,40805,52.9,17,2006-07,2018-02,Individual,1,0,0
13877,60 months,13.75,44.73,E,E1,10,MORTGAGE,63949.62,Source Verified,debt_consolidation,AZ,5.68,0,2,26,0,13624,88.7,29,2004-05,2019-07,Individual,2,0,1
9849,60 months,8.53,15.98,A,A1,3,MORTGAGE,51244.87,Verified,vacation,AZ,17.18,0,3,29,0,32262,21.8,36,1998-03,2019-10,Individual,2,0,0
23015,60 months,11.93,57.18,C,C2,5,MORTGAGE,30615.13,Verified,major_purchase,MI,16.18,0,2,13,0,31524,40.2,19,2004-07,2018-05,Individual,2,0,0
27122,60 months,11.16,57.4,A,A2,6,RENT,44811.53,Not Verified,credit_card,IN,23.02,0,0,26,0,71710,45.8,37,1998-03,2018-04,Individual,1,0,0
37671,60 months,18.85,152.95,D,D3,9,OWN,27721.66,Not Verified,car,CA,9.57,1,0,25,0,65640,37.8,43,2004-06,2019-09,Individual,2,0,0
18048,36 months,14.87,83.84,E,E5,8,MORTGAGE,79658.71,Verified,debt_consolidation,TX,10.33,1,1,8,1,34571,5.2,8,2005-12,2018-03,Individual,2,0,0
7266,36 months,8.16,25.19,E,E4,9,OWN,69073.62,Source Verified,credit_card,AZ,6.24,0,0,14,0,61678,62.1,30,2002-09,2015-02,Individual,2,0,0
33474,36 months,19.43,289.69,G,G2,10,MORTGAGE,48395.33,Verified,house,WA,12.03,0,1,4,0,49471,27.0,9,1995-09,2018-09,Individual,2,0,0
25560,36 months,13.94,136.07,D,D2,1,MORTGAGE,34856.3,Source Verified,home_improvement,PA,17.79,0,0,1,0,44320,26.6,14,2009-01,2018-06,Individual,3,0,0
28310,60 months,14.44,102.76,E,E4,1,MORTGAGE,173579.46,Source Verified,moving,WA,3.42,0,0,18,0,68687,34.8,36,2010-10,2019-02,Individual,1,0,0
4791,36 months,8.31,9.87,C,C2,4,MORTGAGE,22443.62,Not Verified,vacation,NY,12.9,0,0,1,0,49858,37.4,15,1996-08,2015-08,Individual,1,0,1
13182,36 months,11.18,37.49,F,F5,1,OWN,19403.95,Verified,credit_card,WA,20.28,1,0,10,0,17007,39.6,10,2002-07,2018-12,Individual,0,0,0
30945,36 months,14.88,145.26,D,D3,5,MORTGAGE,46667.18,Verified,debt_consolidation,GA,15.28,0,1,6,0,31633,61.3,17,2014-04,2018-05,Individual,2,0,0
33458,36 months,16.91,189.89,F,F3,6,RENT,41989.36,Not Verified,moving,VA,16.53,0,1,8,1,32217,65.4,11,2001-06,2018-09,Individual,1,0,0
17973,36 months,9.79,56.71,B,B5,3,MORTGAGE,94707.59,Not Verified,credit_card,OH,5.46,0,3,8,0,67507,36.8,13,2016-05,2017-09,Individual,2,0,1
32385,36 months,14.81,116.12,C,C2,1,RENT,72234.27,Verified,credit_card,MA,15.3,0,1,16,0,11592,30.0,27,2006-05,2019-09,Joint App,0,0,0
33825,60 months,14.94,120.47,D,D3,10,OWN,49896.96,Source Verified,credit_card,NY,16.2,0,1,23,0,38142,39.4,34,2011-10,2019-06,Individual,3,0,1
16111,36 months,11.82,86.27,B,B3,4,MORTGAGE,66184.57,Not Verified,debt_consolidation,IN,14.85,1,1,16,0,43415,24.1,35,2010-02,2016-01,Individual,2,0,0
36025,60 months,15.5,135.52,B,B2,9,MORTGAGE,65466.87,Source Verified,debt_consolidation,MI,17.07,0,2,22,0,76291,41.4,27,2004-08,2019-02,Individual,1,0,0
12244,36 months,15.61,75.24,G,G1,6,RENT,173188.18,Source Verified,home_improvement,IL,13.84,1,2,16,0,63165,23.1,34,2014-12,2018-07,Individual,1,0,0
10342,36 months,9.19,32.87,C,C2,7,MORTGAGE,57069.1,Source Verified,medical,WI,12.81,2,0,20,0,20879,84.5,28,2008-03,2017-07,Individual,1,0,0
27617,36 months,11.25,89.01,A,A1,8,RENT,32576.74,Not Verified,credit_card,NY,8.72,0,1,9,0,4402,44.6,14,2015-09,2019-01,Individual,3,0,1
25833,60 months,14.47,75.66,B,B4,2,MORTGAGE,55221.11,Source Verified,debt_consolidation,NJ,22.82,0,1,10,0,10137,31.2,22,2012-02,2016-03,Individual,3,0,0
6450,36 months,6.82,19.81,B,B1,2,MORTGAGE,10186.23,Verified,credit_card,TX,7.41,0,2,5,0,4826,56.1,17,2007-07,2017-04,Individual,3,0,1
33476,60 months,15.86,99.96,D,D2,10,MORTGAGE,48069.9,Source Verified,major_purchase,MO,17.11,1,3,16,0,32493,17.4,33,2004-04,2019-10,Individual,1,0,1
8796,36 months,12.56,34.03,F,F5,7,RENT,94446.56,Not Verified,debt_consolidation,FL,28.69,1,2,6,0,59295,27.8,25,1999-08,2016-09,Individual,3,0,0
32391,36 months,17.01,217.55,G,G3,3,MORTGAGE,70355.09,Source Verified,credit_card,PA,23.71,0,1,19,0,52569,50.5,32,1996-10,2019-11,Individual,1,0,0
1287,60 months,8.88,2.73,D,D4,7,MORTGAGE,58637.73,Verified,small_business,AZ,19.57,0,2,21,0,56767,44.7,33,2010-12,2018-03,Individual,2,0,0
32076,36 months,16.42,150.75,D,D4,4,OWN,72369.74,Source Verified,credit_card,MO,17.75,1,1,26,0,42457,63.0,31,2006-02,2015-11,Joint App,2,0,0
31690,36 months,15.35,155.08,B,B2,9,OWN,95030.57,Source Verified,home_improvement,NC,15.11,0,1,14,0,32175,0.0,18,1995-04,2016-09,Individual,2,0,0
31434,60 months,17.53,100.99,E,E4,5,MORTGAGE,115282.4,Not Verified,vacation,PA,9.69,1,2,29,0,65938,58.4,40,2010-09,2015-01,Individual,1,0,0
26929,36 months,14.19,128.85,B,B2,3,RENT,64117.56,Source Verified,debt_consolidation,OH,14.22,1,2,14,0,28855,31.1,27,2004-11,2019-07,Individual,1,0,1
19391,36 months,9.72,74.38,A,A4,7,RENT,40551.71,Not Verified,debt_consolidation,MD,20.02,1,2,21,0,46730,18.6,28,1999-05,2017-04,Individual,3,0,0
28501,36 months,16.49,135.67,G,G4,8,OWN,12232.93,Source Verified,debt_consolidation,MD,18.73,0,2,29,0,22562,7.5,39,2007-02,2018-11,Individual,2,0,0
11807,36 months,14.98,69.66,F,F5,4,OTHER,88159.6,Verified,small_business,NY,21.52,0,1,16,0,29210,30.9,27,1998-02,2019-06,Individual,3,0,0
31448,60 months,11.93,76.31,B,B5,8,RENT,66777.5,Source Verified,vacation,MD,24.54,0,0,27,0,4940,73.8,36,2011-01,2019-06,Joint App,2,0,1
22670,60 months,11.66,73.36,D,D1,2,MORTGAGE,53722.96,Verified,small_business,IN,14.89,0,1,17,0,48634,61.4,17,2016-01,2019-12,Individual,0,0,1
18897,36 months,12.2,80.93,C,C2,2,RENT,32440.7,Not Verified,house,NJ,17.34,0,2,2,0,41083,74.7,11,2015-11,2018-04,Individual,1,0,0
20718,60 months,13.03,53.12,B,B3,9,RENT,87473.5,Not Verified,small_business,PA,2.71,0,0,15,0,25245,39.7,19,2003-12,2016-08,Individual,2,0,1
23180,36 months,11.92,100.92,B,B2,6,OTHER,42009.8,Verified,debt_consolidation,MI,31.79,0,1,24,0,49286,44.1,26,2003-02,2017-11,Individual,1,0,1
2453,36 months,6.81,5.26,A,A4,0,OWN,48018.74,Source Verified,debt_consolidation,TN,13.1,1,1,19,0,10442,10.4,28,2004-12,2017-07,Individual,1,0,1
6452,36 months,6.02,9.07,C,C5,7,OTHER,47401.39,Not Verified,home_improvement,PA,20.56,0,1,8,0,69229,10.4,23,2009-09,2019-06,Individual,1,0,0
10573,60 months,8.84,17.94,C,C2,3,RENT,64209.79,Verified,home_improvement,OH,13.1,1,1,9,0,2609,39.1,24,2007-07,2019-04,Individual,2,0,0
5466,36 months,5.92,10.33,C,C5,3,MORTGAGE,24607.85,Not Verified,credit_card,MI,12.94,1,2,21,0,43348,14.5,27,1993-06,2017-04,Individual,2,0,0
18144,36 months,11.37,50.52,B,B5,4,OWN,68701.83,Verified,credit_card,TX,14.34,0,4,24,1,21378,24.9,35,2005-04,2017-11,Individual,1,0,1
27067,36 months,14.41,128.43,F,F5,4,MORTGAGE,31807.81,Verified,credit_card,NC,7.28,1,3,6,0,12156,42.9,9,1999-05,2017-05,Individual,3,0,1
26522,60 months,12.8,44.5,D,D1,9,RENT,32484.48,Source Verified,debt_consolidation,NY,0.0,0,1,14,1,13709,67.4,19,1996-12,2017-04,Joint App,4,0,0
19372,36 months,14.96,91.0,F,F2,4,MORTGAGE,83378.36,Verified,home_improvement,CA,24.12,0,1,5,0,24654,42.2,13,2011-12,2015-06,Individual,3,0,0
34348,36 months,14.86,177.04,A,A1,3,RENT,26983.56,Not Verified,major_purchase,GA,19.82,0,0,9,0,50653,14.8,16,2013-08,2019-01,Individual,1,0,0
23044,60 months,13.27,62.15,D,D1,8,MORTGAGE,83288.47,Source Verified,medical,TN,9.59,0,0,28,0,62801,5.6,40,2004-04,2018-03,Individual,3,0,1
4088,36 months,10.31,13.09,E,E1,5,OWN,52094.78,Source Verified,debt_consolidation,WI,19.16,1,3,1,0,74586,44.4,15,2000-05,2018-11,Individual,2,0,0
30834,36 months,14.25,144.37,B,B3,0,RENT,18233.83,Source Verified,moving,NC,21.77,0,0,17,0,49455,29.4,28,1995-02,2016-10,Individual,0,0,1
23409,36 months,10.59,71.84,A,A1,6,RENT,111155.51,Source Verified,debt_consolidation,TN,11.15,0,0,14,0,39690,44.3,14,2000-04,2018-11,Individual,2,0,1
25754,36 months,11.02,94.77,B,B2,5,MORTGAGE,59050.73,Not Verified,debt_consolidation,IL,18.88,0,0,11,0,61688,37.9,27,1995-03,2018-10,Individual,4,0,1
23049,36 months,12.34,95.73,B,B5,6,MORTGAGE,62098.4,Source Verified,medical,WA,23.05,0,1,27,0,64968,40.6,36,1991-12,2015-01,Individual,2,0,0
22589,60 months,13.18,50.61,C,C5,2,RENT,89710.71,Not Verified,house,AZ,5.93,0,0,26,0,33078,66.0,42,1992-12,2015-06,Individual,0,0,0
4532,36 months,8.11,12.8,B,B5,5,RENT,120515.35,Source Verified,wedding,OH,19.73,0,0,1,0,33423,63.1,6,2003-08,2018-02,Individual,1,0,1
22809,36 months,11.98,95.05,B,B1,7,MORTGAGE,55304.86,Source Verified,debt_consolidation,NC,18.55,0,1,9,0,5401,49.4,21,1998-12,2018-01,Individual,2,0,1
32001,60 months,14.3,88.99,D,D4,7,RENT,70995.54,Source Verified,debt_consolidation,AZ,29.16,2,1,7,0,1278,24.1,11,1995-07,2018-03,Individual,3,0,0
12854,36 months,9.04,54.36,A,A4,7,MORTGAGE,61249.54,Source Verified,major_purchase,OH,19.9,0,0,2,0,71370,31.0,13,2012-04,2019-02,Individual,1,1,0
24510,36 months,12.03,95.98,B,B1,10,MORTGAGE,39905.9,Verified,medical,WA,13.12,0,0,15,0,69307,57.3,31,2005-07,2019-11,Individual,1,0,0
2201,60 months,7.67,3.22,D,D5,5,RENT,18957.18,Source Verified,credit_card,IL,13.93,0,2,12,0,27937,68.0,23,2003-07,2019-07,Individual,3,0,1
14552,36 months,8.28,37.34,A,A3,4,MORTGAGE,55767.87,Source Verified,debt_consolidation,NJ,30.16,0,3,12,0,75477,16.5,31,2006-04,2015-12,Individual,3,0,1
18031,60 months,9.58,28.96,B,B5,5,MORTGAGE,112124.23,Verified,credit_card,TX,13.52,0,2,21,0,6670,72.6,28,1999-08,2017-04,Individual,3,0,1
39326,60 months,16.8,147.24,B,B1,3,MORTGAGE,69563.81,Not Verified,debt_consolidation,NC,20.1,0,1,29,0,76628,26.4,31,2001-11,2019-07,Individual,1,0,0
9368,36 months,5.64,15.6,A,A4,3,MORTGAGE,25836.57,Not Verified,debt_consolidation,NJ,14.33,1,1,20,0,46951,55.4,29,1998-12,2019-04,Individual,3,0,1
11785,36 months,8.55,30.41,C,C1,7,RENT,94704.13,Verified,home_improvement,IN,23.57,0,1,18,0,41764,98.0,34,2013-12,2019-07,Joint App,1,0,0
16932,36 months,8.84,45.42,A,A5,3,RENT,40713.63,Not Verified,debt_consolidation,GA,23.91,0,1,14,0,59516,10.2,24,1996-08,2018-07,Individual,2,0,0
39713,36 months,17.76,196.51,B,B4,8,MORTGAGE,13971.63,Not Verified,small_business,CA,15.84,0,2,12,0,18194,52.1,24,1995-08,2019-01,Individual,2,0,0
34282,36 months,20.24,163.79,G,G1,8,MORTGAGE,90286.42,Not Verified,home_improvement,CA,13.15,0,0,15,0,38240,35.7,31,2003-11,2016-08,Individual,4,0,1
2353,36 months,8.12,5.88,F,F2,10,RENT,27799.45,Verified,credit_card,NJ,12.99,0,1,8,0,18384,50.9,13,2006-04,2017-03,Individual,1,0,1
10123,60 months,10.05,23.31,B,B2,1,RENT,142691.04,Source Verified,credit_card,IN,3.91,0,0,16,0,49108,29.6,30,2007-02,2015-03,Individual,4,0,0
33045,60 months,15.78,107.71,B,B1,3,MORTGAGE,97603.05,Source Verified,vacation,MO,16.7,0,0,11,0,33313,0.0,30,1999-01,2017-12,Individual,4,0,1
3273,60 months,6.21,5.12,C,C1,8,RENT,42758.38,Not Verified,credit_card,IN,16.56,0,0,11,0,33380,26.9,14,2006-06,2019-09,Individual,3,0,0
34371,36 months,14.17,182.66,E,E5,4,OWN,64577.15,Source Verified,vacation,OH,10.29,0,0,26,0,59683,48.9,29,2000-02,2016-02,Individual,1,0,1
11973,36 months,11.51,49.95,E,E5,7,MORTGAGE,209892.58,Source Verified,credit_card,MI,3.16,0,1,3,0,65094,69.0,22,1996-10,2019-02,Individual,1,1,0
36788,36 months,15.54,250.36,A,A3,8,RENT,89322.1,Not Verified,credit_card,MO,17.44,0,1,24,0,68695,50.1,43,2002-03,2019-01,Individual,1,0,0
12450,36 months,10.02,40.91,A,A5,9,MORTGAGE,56552.24,Not Verified,house,IN,18.33,1,3,5,0,62697,71.5,24,2006-01,2019-07,Individual,2,0,0
17938,60 months,10.24,37.12,C,C4,2,RENT,277476.74,Source Verified,debt_consolidation,MI,18.76,1,1,11,0,14246,32.1,28,2015-05,2019-09,Individual,1,0,0
